22:53:54.370 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 33.008ms
22:53:54.376 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 38.891ms
22:53:54.376 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 34.926ms
22:53:54.377 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 32.246ms
22:53:54.377 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 32.544ms
22:53:54.377 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.317ms
22:53:54.377 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 32.529ms
22:53:54.377 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 32.59ms
22:53:54.380 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 33.605ms
22:53:54.383 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 21.016ms
22:53:54.383 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 24.979ms
22:53:54.385 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 22.622ms
22:53:54.385 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 22.63ms
22:53:54.394 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 29.538ms
22:53:54.415 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 30.175ms
22:53:54.416 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 38.879ms
22:53:54.416 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 32.236ms
22:53:54.416 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 38.905ms
22:53:54.416 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 45.577ms
22:53:54.416 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 45.669ms
22:53:54.416 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 39.349ms
22:53:54.416 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 39.464ms
22:53:54.417 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 33.122ms
22:53:54.417 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 40.014ms
22:53:54.417 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 31.458ms
22:53:54.417 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 39.676ms
22:53:54.417 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 36.848ms
22:53:54.417 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 40.312ms
22:53:54.433 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 39.39ms
22:53:54.443 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 27.674ms
22:53:54.443 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 27.346ms
22:53:54.446 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 28.888ms
22:53:54.446 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 29.044ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.225ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.028ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.894ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 34.963ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.34ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 36.268ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 36.113ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.545ms
22:53:54.452 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 36.048ms
22:53:54.460 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 27.13ms
22:53:54.461 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 43.932ms
22:53:54.468 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 24.389ms
22:53:54.470 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 26.255ms
22:53:54.470 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 24.079ms
22:53:54.470 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 24.037ms
22:53:54.487 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.037ms
22:53:54.487 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 34.762ms
22:53:54.487 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.004ms
22:53:54.487 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 35.763ms
22:53:54.489 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 36.776ms
22:53:54.489 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 21.006ms
22:53:54.489 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 19.218ms
22:53:54.489 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 36.803ms
22:53:54.489 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 36.94ms
22:53:54.489 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 37.58ms
22:53:54.489 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 37.362ms
22:53:54.493 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 32.22ms
22:53:54.506 [info] Request: http://google.com, Status Code: 302, Success: false, Time: 36.467ms
22:53:54.507 [info] Request: http://philibertd.com, Status Code: 200, Success: true, Time: 45.85ms
